Designator,Mid X,Mid Y,Rotation,Layer
C1,56.388,-66.579,0.0,top
C10,114.11,-51.24,180.0,top
C11,121.61,-56.24,270.0,top
C12,102.11,-67.24,270.0,top
C13,112.61,-72.74,270.0,top
C14,102.11,-72.7406,90.0,top
C15,114.11,-67.74,180.0,top
C16,121.61,-72.74,270.0,top
C17,102.11,-83.74,270.0,top
C18,112.61,-89.24,270.0,top
C19,102.11,-89.24,90.0,top
C2,82.61,-66.74,0.0,top
C20,114.11,-84.74,180.0,top
C21,121.61,-89.24,270.0,top
C22,127.11,-50.74,270.0,top
C23,137.61,-56.24,270.0,top
C24,127.11,-56.24,90.0,top
C25,139.11,-51.24,180.0,top
C26,146.11,-56.24,270.0,top
C27,127.11,-67.24,270.0,top
C28,137.61,-72.74,270.0,top
C29,127.11,-72.74,90.0,top
C3,49.388,-80.579,0.0,top
C30,139.11,-67.74,180.0,top
C31,146.11,-72.74,270.0,top
C32,127.11,-83.74,270.0,top
C33,137.61,-89.24,270.0,top
C34,127.11,-89.24,90.0,top
C35,139.11,-84.74,180.0,top
C36,146.11,-89.24,270.0,top
C37,151.61,-50.74,270.0,top
C38,162.11,-56.24,270.0,top
C39,151.61,-56.24,90.0,top
C4,88.388,-80.579,0.0,top
C40,163.61,-51.24,180.0,top
C41,171.11,-56.24,270.0,top
C42,151.61,-67.24,270.0,top
C43,162.11,-72.74,270.0,top
C44,151.61,-72.74,90.0,top
C45,163.61,-67.74,180.0,top
C46,171.11,-72.74,270.0,top
C47,151.61,-83.74,270.0,top
C48,162.11,-89.24,270.0,top
C49,151.61,-89.24,90.0,top
C5,49.388,-87.579,0.0,top
C50,163.61,-84.74,180.0,top
C51,171.11,-89.24,270.0,top
C52,176.61,-50.74,270.0,top
C53,187.11,-56.24,270.0,top
C54,176.61,-56.24,90.0,top
C55,188.61,-51.24,180.0,top
C56,196.11,-56.24,270.0,top
C57,176.61,-67.24,270.0,top
C58,187.11,-72.74,270.0,top
C59,176.61,-72.74,90.0,top
C6,88.388,-87.579,0.0,top
C60,188.61,-67.74,180.0,top
C61,196.11,-72.74,270.0,top
C62,176.61,-83.74,270.0,top
C63,187.11,-89.24,270.0,top
C64,176.61,-89.24,90.0,top
C65,188.61,-84.74,180.0,top
C66,196.11,-89.24,270.0,top
C67,201.61,-50.74,270.0,top
C68,212.11,-56.24,270.0,top
C69,201.61,-56.24,90.0,top
C7,102.11,-50.74,270.0,top
C70,213.61,-51.24,180.0,top
C71,221.11,-56.24,270.0,top
C72,201.61,-67.24,270.0,top
C73,212.11,-72.74,270.0,top
C74,201.61,-72.74,90.0,top
C75,213.61,-67.74,180.0,top
C76,221.11,-72.74,270.0,top
C77,226.61,-50.74,270.0,top
C78,237.11,-56.24,270.0,top
C79,226.61,-56.24,90.0,top
C8,112.61,-56.24,270.0,top
C80,238.61,-51.24,180.0,top
C81,246.11,-56.24,270.0,top
C82,226.61,-67.24,270.0,top
C83,237.11,-72.74,270.0,top
C84,226.61,-72.74,90.0,top
C85,238.61,-67.74,180.0,top
C86,246.11,-72.74,270.0,top
C9,102.11,-56.2412,90.0,top
D1,70.58,-52.39,0.0,top
D10,108.11,-90.24,0.0,top
D100,86.0,-147.0,270.0,top
D101,110.0,-147.0,270.0,top
D102,134.0,-147.0,270.0,top
D103,158.0,-147.0,270.0,top
D104,182.0,-147.0,270.0,top
D105,206.0,-147.0,270.0,top
D106,230.0,-147.0,270.0,top
D107,74.0,-147.0,270.0,top
D108,98.0,-147.0,270.0,top
D109,122.0,-147.0,270.0,top
D11,120.61,-84.74,180.0,top
D110,146.0,-147.0,270.0,top
D111,170.0,-147.0,270.0,top
D112,194.0,-147.0,270.0,top
D113,218.0,-147.0,270.0,top
D114,242.0,-147.0,270.0,top
D12,127.11,-45.74,90.0,top
D13,133.11,-57.24,0.0,top
D14,145.11,-51.24,180.0,top
D15,127.11,-62.24,90.0,top
D16,133.11,-73.74,0.0,top
D17,145.11,-67.74,180.0,top
D18,127.11,-78.74,90.0,top
D19,133.11,-90.24,0.0,top
D2,68.6,-85.98,90.0,top
D20,145.11,-84.74,180.0,top
D21,151.61,-45.74,90.0,top
D22,157.61,-57.24,0.0,top
D23,170.11,-51.24,180.0,top
D24,151.61,-62.24,90.0,top
D25,157.61,-73.74,0.0,top
D26,170.11,-67.74,180.0,top
D27,151.61,-78.74,90.0,top
D28,157.61,-90.24,0.0,top
D29,170.11,-84.74,180.0,top
D3,102.11,-45.74,90.0,top
D30,176.61,-45.74,90.0,top
D31,182.61,-57.24,0.0,top
D32,194.61,-51.24,180.0,top
D33,176.61,-62.24,90.0,top
D34,182.61,-73.74,0.0,top
D35,194.61,-67.74,180.0,top
D36,176.61,-78.74,90.0,top
D37,182.61,-90.24,0.0,top
D38,194.61,-84.74,180.0,top
D39,201.61,-45.74,90.0,top
D4,108.11,-57.24,0.0,top
D40,207.61,-57.24,0.0,top
D41,219.61,-51.24,180.0,top
D42,201.61,-62.24,90.0,top
D43,207.61,-73.74,0.0,top
D44,219.61,-67.74,180.0,top
D45,226.61,-45.74,90.0,top
D46,232.61,-57.24,0.0,top
D47,244.61,-51.24,180.0,top
D48,226.61,-62.24,90.0,top
D49,232.61,-73.74,0.0,top
D5,120.61,-51.24,180.0,top
D50,244.61,-67.74,180.0,top
D51,61.61,-99.74,270.0,top
D52,64.61,-99.74,270.0,top
D53,67.61,-99.74,270.0,top
D54,70.61,-99.74,270.0,top
D55,73.61,-99.74,270.0,top
D56,76.61,-99.74,270.0,top
D57,79.61,-99.74,270.0,top
D58,82.61,-99.74,270.0,top
D59,61.61,-121.74,270.0,top
D6,102.11,-62.2394,90.0,top
D60,64.61,-121.74,270.0,top
D61,67.61,-121.74,270.0,top
D62,70.61,-121.74,270.0,top
D63,73.61,-121.74,270.0,top
D64,76.61,-121.74,270.0,top
D65,79.61,-121.74,270.0,top
D66,82.61,-121.74,270.0,top
D67,54.0,-147.0,270.0,top
D68,78.0,-147.0,270.0,top
D69,102.0,-147.0,270.0,top
D7,108.11,-73.74,0.0,top
D70,126.0,-147.0,270.0,top
D71,150.0,-147.0,270.0,top
D72,174.0,-147.0,270.0,top
D73,198.0,-147.0,270.0,top
D74,222.0,-147.0,270.0,top
D75,66.0,-147.0,270.0,top
D76,90.0,-147.0,270.0,top
D77,114.0,-147.0,270.0,top
D78,138.0,-147.0,270.0,top
D79,162.0,-147.0,270.0,top
D8,120.61,-67.74,180.0,top
D80,186.0,-147.0,270.0,top
D81,210.0,-147.0,270.0,top
D82,234.0,-147.0,270.0,top
D83,58.0,-147.0,270.0,top
D84,82.0,-147.0,270.0,top
D85,106.0,-147.0,270.0,top
D86,130.0,-147.0,270.0,top
D87,154.0,-147.0,270.0,top
D88,178.0,-147.0,270.0,top
D89,202.0,-147.0,270.0,top
D9,102.11,-78.7387,90.0,top
D90,226.0,-147.0,270.0,top
D91,70.0,-147.0,270.0,top
D92,94.0,-147.0,270.0,top
D93,118.0,-147.0,270.0,top
D94,142.0,-147.0,270.0,top
D95,166.0,-147.0,270.0,top
D96,190.0,-147.0,270.0,top
D97,214.0,-147.0,270.0,top
D98,238.0,-147.0,270.0,top
D99,62.0,-147.0,270.0,top
J1,70.61,-44.74,180.0,top
J2,224.084,-86.563,270.0,top
J3,60.5,-41.005,180.0,top
J4,79.5,-41.005,180.0,top
J5,68.44,-90.5,90.0,top
R1,68.61,-81.74,270.0,top
R10,133.61,-70.24,0.0,top
R11,146.61,-62.74,90.0,top
R12,133.61,-86.74,0.0,top
R13,146.61,-79.24,90.0,top
R14,158.11,-53.74,0.0,top
R15,171.11,-46.24,90.0,top
R16,158.11,-70.24,0.0,top
R17,171.11,-62.74,90.0,top
R18,158.11,-86.74,0.0,top
R19,171.11,-79.24,90.0,top
R2,108.61,-53.74,0.0,top
R20,183.11,-53.74,0.0,top
R21,196.11,-46.24,90.0,top
R22,183.11,-70.24,0.0,top
R23,196.11,-62.74,90.0,top
R24,183.11,-86.74,0.0,top
R25,196.11,-79.24,90.0,top
R26,208.11,-53.74,0.0,top
R27,221.11,-46.24,90.0,top
R28,208.11,-70.24,0.0,top
R29,221.11,-62.74,90.0,top
R3,121.61,-46.24,90.0,top
R30,233.11,-53.74,0.0,top
R31,246.11,-46.24,90.0,top
R32,233.11,-70.24,0.0,top
R33,246.11,-62.74,90.0,top
R34,47.61,-94.74,0.0,top
R35,47.61,-97.74,0.0,top
R36,47.61,-100.74,0.0,top
R37,47.61,-103.74,0.0,top
R38,47.61,-106.74,0.0,top
R39,47.61,-109.74,0.0,top
R4,108.61,-70.22,0.0,top
R40,47.61,-112.74,0.0,top
R41,47.61,-115.74,0.0,top
R42,47.61,-118.74,0.0,top
R43,47.61,-121.74,0.0,top
R44,47.61,-124.74,0.0,top
R45,47.61,-127.74,0.0,top
R46,47.61,-130.74,0.0,top
R47,47.61,-133.74,0.0,top
R48,47.61,-136.74,0.0,top
R49,47.61,-139.74,0.0,top
R5,121.61,-62.74,90.0,top
R6,108.61,-86.74,0.0,top
R7,121.61,-79.24,90.0,top
R8,133.61,-53.74,0.0,top
R9,146.61,-46.24,90.0,top
RV1,95.46,-101.08,180.0,top
RV10,135.46,-111.08,180.0,top
RV11,144.46,-111.08,180.0,top
RV12,144.46,-100.07,0.0,top
RV13,155.46,-101.08,180.0,top
RV14,155.46,-111.08,180.0,top
RV15,164.46,-111.08,180.0,top
RV16,164.46,-100.07,0.0,top
RV17,175.46,-101.08,180.0,top
RV18,175.46,-111.08,180.0,top
RV19,184.46,-111.08,180.0,top
RV2,95.46,-111.08,180.0,top
RV20,184.46,-100.07,0.0,top
RV21,195.46,-101.08,180.0,top
RV22,195.46,-111.08,180.0,top
RV23,204.46,-111.08,180.0,top
RV24,204.46,-100.07,0.0,top
RV25,215.46,-101.08,180.0,top
RV26,215.46,-111.08,180.0,top
RV27,224.46,-111.08,180.0,top
RV28,224.46,-100.07,0.0,top
RV29,235.46,-101.08,180.0,top
RV3,104.46,-111.08,180.0,top
RV30,235.46,-111.08,180.0,top
RV31,244.46,-111.08,180.0,top
RV32,244.46,-100.07,0.0,top
RV33,95.46,-125.08,180.0,top
RV34,95.46,-135.08,180.0,top
RV35,104.46,-135.08,180.0,top
RV36,104.46,-124.07,0.0,top
RV37,115.46,-125.08,180.0,top
RV38,115.46,-135.08,180.0,top
RV39,124.46,-135.08,180.0,top
RV4,104.46,-100.07,0.0,top
RV40,124.46,-124.07,0.0,top
RV41,135.46,-125.08,180.0,top
RV42,135.46,-135.08,180.0,top
RV43,144.46,-135.08,180.0,top
RV44,144.46,-124.07,0.0,top
RV45,155.46,-125.08,180.0,top
RV46,155.46,-135.08,180.0,top
RV47,164.46,-135.08,180.0,top
RV48,164.46,-124.07,0.0,top
RV49,175.46,-125.08,180.0,top
RV5,115.46,-101.08,180.0,top
RV50,175.46,-135.08,180.0,top
RV51,184.46,-135.08,180.0,top
RV52,184.46,-124.07,0.0,top
RV53,195.46,-125.08,180.0,top
RV54,195.46,-135.08,180.0,top
RV55,204.46,-135.08,180.0,top
RV56,204.46,-124.07,0.0,top
RV57,215.46,-125.08,180.0,top
RV58,215.46,-135.08,180.0,top
RV59,224.46,-135.08,180.0,top
RV6,115.46,-111.08,180.0,top
RV60,224.46,-124.07,0.0,top
RV61,235.46,-125.08,180.0,top
RV62,235.46,-135.08,180.0,top
RV63,244.46,-135.08,180.0,top
RV64,244.46,-124.07,0.0,top
RV7,124.46,-111.08,180.0,top
RV8,124.46,-100.07,0.0,top
RV9,135.46,-101.08,180.0,top
S1,71.61,-109.74,90.0,top
S2,71.61,-131.74,90.0,top
U1,58.66,-84.74,270.0,top
U10,117.11,-88.74,270.0,top
U11,115.61,-79.24,180.0,top
U12,132.61,-47.24,90.0,top
U13,142.11,-55.74,270.0,top
U14,140.61,-46.24,180.0,top
U15,132.61,-63.74,90.0,top
U16,142.11,-72.24,270.0,top
U17,140.61,-62.74,180.0,top
U18,132.61,-80.24,90.0,top
U19,142.11,-88.74,270.0,top
U2,76.66,-84.74,270.0,top
U20,140.61,-79.24,180.0,top
U21,157.11,-47.24,90.0,top
U22,167.11,-55.74,270.0,top
U23,165.11,-46.24,180.0,top
U24,157.11,-63.74,90.0,top
U25,167.11,-72.24,270.0,top
U26,165.11,-62.74,180.0,top
U27,157.11,-80.24,90.0,top
U28,167.11,-88.74,270.0,top
U29,165.11,-79.24,180.0,top
U3,107.61,-47.24,90.0,top
U30,182.11,-47.24,90.0,top
U31,192.11,-55.74,270.0,top
U32,190.11,-46.24,180.0,top
U33,182.11,-63.74,90.0,top
U34,192.11,-72.24,270.0,top
U35,190.11,-62.74,180.0,top
U36,182.11,-80.24,90.0,top
U37,192.11,-88.74,270.0,top
U38,190.11,-79.24,180.0,top
U39,207.11,-47.24,90.0,top
U4,117.11,-55.74,270.0,top
U40,217.11,-55.74,270.0,top
U41,215.11,-46.24,180.0,top
U42,207.11,-63.74,90.0,top
U43,217.11,-72.24,270.0,top
U44,215.11,-62.74,180.0,top
U45,232.11,-47.24,90.0,top
U46,242.11,-55.74,270.0,top
U47,240.11,-46.24,180.0,top
U48,232.11,-63.74,90.0,top
U49,242.11,-72.24,270.0,top
U5,115.61,-46.24,180.0,top
U50,240.11,-62.74,180.0,top
U6,107.61,-63.74,90.0,top
U7,117.11,-72.24,270.0,top
U8,115.61,-62.74,180.0,top
U9,107.61,-80.24,90.0,top
